"disk_num";"script_num";"basic_line";"string_num";"source_text";"translation"
"intro";"intro";"205";"0";"Ｖ２モ−ドに変更して下さい。";""
"intro";"intro";"210";"1";"スピ−ドを８Ｍｚに変更して下さい。";""
"menu";"menu";"1190";"0";"ＭＩＲＲＯＲＳ　ＭＥＮＵ";""
"menu";"menu";"1200";"1";"ゲームを最初から始める。";""
"menu";"menu";"1210";"2";"ゲームを途中から始める。";""
"menu";"menu";"1214";"3";"場面保存・ディスクを作る。";""
"menu";"menu";"1215";"4";"システムを設定する。";""
"menu";"menu";"1216";"5";"［８］・［２］のキ−で選択、決定はリタ−ン・キ−です。";""
"menu";"menu";"1260";"6";"ドライブ１に、ブランク・ディスクを入れて下さい。";""
"menu";"menu";"1261";"7";"ドライブ１のディスクが消されます。間違いありませんか？　（Ｙ／Ｎ）";""
"menu";"menu";"1262";"8";"";""
"menu";"menu";"1263";"9";"n";""
"menu";"menu";"1263";"10";"N";""
"menu";"menu";"1264";"11";"y";""
"menu";"menu";"1264";"12";"Y";""
"menu";"menu";"1268";"13";"ドライブ１のディスクに、プログラムをＳＡＶＥしています。";""
"menu";"menu";"1285";"14";"　　　場面保存・ディスクが出来ました。";""
"menu";"menu";"1286";"15";"　　　ディスクに名前を書いて下さい。";""
"menu";"menu";"1300";"16";"ドライブ１とドライブ２に、ブランク・ディスクを入れて下さい。";""
"menu";"menu";"1304";"17";"ドライブ１とドライブ２のディスクのＤＡＴＡが消されます。";""
"menu";"menu";"1305";"18";"間違いありませんか？　（Ｙ／Ｎ）";""
"menu";"menu";"1306";"19";"";""
"menu";"menu";"1307";"20";"n";""
"menu";"menu";"1307";"21";"N";""
"menu";"menu";"1308";"22";"y";""
"menu";"menu";"1308";"23";"Y";""
"menu";"menu";"1316";"24";"I";""
"menu";"menu";"1316";"25";"P";""
"menu";"menu";"1320";"26";"ドライブ１のディスクを、ＦＯＲＭＡＴしています。";""
"menu";"menu";"1370";"27";"ドライブ１のディスクに、プログラムをＳＡＶＥしています。";""
"menu";"menu";"1406";"28";"I";""
"menu";"menu";"1406";"29";"P";""
"menu";"menu";"1410";"30";"ドライブ２のディスクを、ＦＯＲＭＡＴしています。";""
"menu";"menu";"1450";"31";"ドライブ２のディスクに、プログラムをＳＡＶＥしています。";""
"menu";"menu";"1510";"32";"A:";""
"menu";"menu";"1550";"33";"B:";""
"menu";"menu";"1600";"34";"ドライブ１のディスクが、ＭＡＩＮ・ディスクです。ＭＡＩＮ・ディスクに名前を書いて下さい。";""
"menu";"menu";"1700";"35";"ドライブ２のディスクが、ゲ−ム・ディスクです。ゲ−ム・ディスクにも名前を書いて下さい。";""
"menu";"menu";"1750";"36";"ドライブ１に、ＭＡＩＮ・ディスクを入れて下さい。";""
"menu";"menu";"1780";"37";"ドライブ２に、ゲ−ム・ディスクを入れて下さい。";""
"menu";"menu";"1800";"38";"A:";""
"menu";"menu";"1820";"39";"  ドライブ１の、ＭＡＩＮ・ディスクが違います。";""
"menu";"menu";"1850";"40";"B:";""
"menu";"menu";"1870";"41";"ドライブ２の、ゲ−ム・ディスクが違います。";""
"menu";"menu";"1990";"42";"NO0";""
"menu";"menu";"2010";"43";"    ドライブ１に、場面保存・ディスクを入れて下さい。";""
"menu";"menu";"2020";"44";"A:";""
"menu";"menu";"2026";"45";"ドライブ１のディスクが、場面ＳＡＶＥ・ディスクと違います。";""
"menu";"menu";"2260";"46";"場面保存・ディスクの、ＤＡＴＡが不良です。";""
"menu";"menu";"2265";"47";"最初から始めて下さい。";""
"menu";"menu";"2400";"48";"ドライブ１に、ＭＡＩＮ・ディスク";""
"menu";"menu";"2405";"49";"ドライブ２に、ゲ−ム・ディスクを入れて下さい。";""
"menu";"menu";"2410";"50";"A:";""
"menu";"menu";"2430";"51";"  ドライブ１の、ディスクが、ＭＡＩＮ・ディスクと違います。";""
"menu";"menu";"3000";"52";"B:";""
"menu";"menu";"3020";"53";"ドライブ２の、ゲ−ム・ディスクが、ＳＡＶＥした時のディスクと違います。このディスクをゲ−ム・ディスクにしてもいいですか？　（Ｙ／Ｎ）";""
"menu";"menu";"3050";"54";"";""
"menu";"menu";"3060";"55";"y";""
"menu";"menu";"3060";"56";"Y";""
"menu";"menu";"3070";"57";"n";""
"menu";"menu";"3070";"58";"N";""
"menu";"menu";"3090";"59";"ドライブ２のディスクに、ゲ−ム・ディスクを入れて下さい。";""
"menu";"menu";"3102";"60";"I";""
"menu";"menu";"3102";"61";"P";""
"menu";"menu";"3105";"62";"ドライブ２のディスクを、ＦＯＲＭＡＴしています。";""
"menu";"menu";"3130";"63";"ドライブ２のディスクに、プログラムをＳＡＶＥしています。";""
"menu";"menu";"4000";"64";"用意ができたら、リタ−ン・キ−を押して下さい。";""
"menu";"menu";"4001";"65";"ＭＥＮＵに戻る時は、［ＥＳＣ］キ−を押して下さい。";""
"menu";"menu";"4006";"66";"";""
"menu";"menu";"5430";"67";"";""
"menu";"menu";"5435";"68";"8";""
"menu";"menu";"5436";"69";"2";""
"menu";"menu";"9040";"70";"ＣＤ音楽リピ−ト　：　ＯＮ  ＯＦＦ";""
"menu";"menu";"9050";"71";"文字表示スピ−ド　：　１・２・３";""
"menu";"menu";"9100";"72";"８・２で選択して４・６で設定しリタ−ンで決定して下さい";""
"menu";"menu";"9930";"73";"";""
"menu";"menu";"9935";"74";"8";""
"menu";"menu";"9936";"75";"2";""
"menu";"menu";"9937";"76";"4";""
